study_id,study_name,tumor_hint,age_context,source,retrieved_at_utc,record_version
breast_cptac_gdc,"Breast Cancer (CPTAC GDC, 2025)",Breast Cancer,adult_or_unspecified,cBioPortal API,2026-05-21T13:47:06.528340+00:00,v1
glioma_mskcc_2019,"Glioma (MSK, Clin Cancer Res 2019)",Glioma,adult_or_unspecified,cBioPortal API,2026-05-21T13:47:06.528340+00:00,v1
os_target_gdc,"Osteosarcoma (TARGET GDC, 2025)",Osteosarcoma,pediatric_or_aya,cBioPortal API,2026-05-21T13:47:06.528340+00:00,v1
prad_msk_mdanderson_2023,"Prostate Cancer MDA PCa PDX (MD Anderson, Clin Cancer Res 2024)",Prostate Cancer MDA PCa PDX,adult_or_unspecified,cBioPortal API,2026-05-21T13:47:06.528340+00:00,v1
uec_cptac_gdc,"Uterine Endometrioid Carcinoma (CPTAC GDC, 2025)",Uterine Endometrioid Carcinoma,adult_or_unspecified,cBioPortal API,2026-05-21T13:47:06.528340+00:00,v1
blca_cornell_2016,"Urothelial Carcinoma (Cornell/Trento, Nat Gen 2016)",Urothelial Carcinoma,adult_or_unspecified,cBioPortal API,2026-05-21T13:47:06.528340+00:00,v1
bcc_unige_2016,"Basal Cell Carcinoma (UNIGE, Nat Genet 2016)",Basal Cell Carcinoma,adult_or_unspecified,cBioPortal API,2026-05-21T13:47:06.528340+00:00,v1
coadread_tcga,"Colorectal Adenocarcinoma (TCGA, Firehose Legacy)",Colorectal Adenocarcinoma,adult_or_unspecified,cBioPortal API,2026-05-21T13:47:06.528340+00:00,v1
luad_cptac_gdc,"Lung Adenocarcinoma (CPTAC GDC, 2025)",Lung Adenocarcinoma,adult_or_unspecified,cBioPortal API,2026-05-21T13:47:06.528340+00:00,v1
brca_broad,"Breast Invasive Carcinoma (Broad, Nature 2012)",Breast Invasive Carcinoma,adult_or_unspecified,cBioPortal API,2026-05-21T13:47:06.528340+00:00,v1
dlbc_tcga_pan_can_atlas_2018,"Diffuse Large B-Cell Lymphoma (TCGA, PanCancer Atlas)",Diffuse Large B-Cell Lymphoma,adult_or_unspecified,cBioPortal API,2026-05-21T13:47:06.528340+00:00,v1
rbl_cfdna_msk_2020,"Retinoblastoma cfDNA (MSK, Cancer Med 2020)",Retinoblastoma cfDNA,adult_or_unspecified,cBioPortal API,2026-05-21T13:47:06.528340+00:00,v1
appendiceal_msk_2022,"Appendiceal Cancer (MSK, J Clin Oncol 2022)",Appendiceal Cancer,adult_or_unspecified,cBioPortal API,2026-05-21T13:47:06.528340+00:00,v1
ucec_msk_dacruzpaula_2025,Evolution and co-occurrence of PI3K pathway gene mutations in endometrial carcinoma molecular subtypes at the single-cell level,"Breast Cancer (CPTAC GDC, 2025)",adult_or_unspecified,cBioPortal API,2026-05-21T13:47:06.528340+00:00,v1
blca_pdx_msk_2025,"Urothelial Cancer Patient Derived Organoids (MSK, 2025)",Urothelial Cancer Patient Derived Organoids,adult_or_unspecified,cBioPortal API,2026-05-21T13:47:06.528340+00:00,v1
ucec_tcga_gdc,"Endometrial Carcinoma (TCGA GDC, 2025)",Endometrial Carcinoma,adult_or_unspecified,cBioPortal API,2026-05-21T13:47:06.528340+00:00,v1
acyc_jhu_2016,"Adenoid Cystic Carcinoma (JHU, Cancer Prev Res 2016)",Adenoid Cystic Carcinoma,adult_or_unspecified,cBioPortal API,2026-05-21T13:47:06.528340+00:00,v1
ucec_tcga_pan_can_atlas_2018,"Uterine Corpus Endometrial Carcinoma (TCGA, PanCancer Atlas)",Uterine Corpus Endometrial Carcinoma,adult_or_unspecified,cBioPortal API,2026-05-21T13:47:06.528340+00:00,v1
acc_tcga,"Adrenocortical Carcinoma (TCGA, Firehose Legacy)",Adrenocortical Carcinoma,adult_or_unspecified,cBioPortal API,2026-05-21T13:47:06.528340+00:00,v1
msk_spectrum_tme_2022,"Ovarian Cancer - MSK SPECTRUM (MSK, Nature 2022)",Ovarian Cancer - MSK SPECTRUM,adult_or_unspecified,cBioPortal API,2026-05-21T13:47:06.528340+00:00,v1
dlbcl_duke_2017,"Diffuse Large B-Cell Lymphoma (Duke, Cell 2017)",Diffuse Large B-Cell Lymphoma,adult_or_unspecified,cBioPortal API,2026-05-21T13:47:06.528340+00:00,v1
ntrk_msk_2019,"Tumors with TRK fusions (MSK, Clin Cancer Res 2020)",Tumors with TRK fusions,adult_or_unspecified,cBioPortal API,2026-05-21T13:47:06.528340+00:00,v1
mel_iatlas_hugo_ucla_2016,"Metastatic Melanoma (UCLA, Cell 2016) - iAtlas Harmonized",Metastatic Melanoma,adult_or_unspecified,cBioPortal API,2026-05-21T13:47:06.528340+00:00,v1
prad_mskcc_cheny1_organoids_2014,"Prostate Adenocarcinoma Organoids (MSK, Cell 2014)",Prostate Adenocarcinoma Organoids,adult_or_unspecified,cBioPortal API,2026-05-21T13:47:06.528340+00:00,v1
thym_tcga_pan_can_atlas_2018,"Thymoma (TCGA, PanCancer Atlas)",Thymoma,adult_or_unspecified,cBioPortal API,2026-05-21T13:47:06.528340+00:00,v1
